,index,ax,ay,az,am,gx,gy,gz,gm,mx,my,mz,mm,label
86,86,-1.4376563333333328,-0.067035,9.755952,9.861538868265058,-0.000594,-0.095421,-0.057584,0.11145150125951647,17.705676999999998,-25.384369,-54.886925,63.011361860478104,0
87,87,-1.4779569999999993,0.168784,9.875657,9.987063938623503,-0.066872,-0.132378,-0.08354500000000001,0.1702221087080054,16.650997,-24.981796,-54.876453000000005,62.55214565737001,0
88,88,-1.4536169999999995,-0.471637,9.761938,9.880833839221365,-0.025028,-0.06365599999999999,-0.044755,0.08174042540261214,18.309978,-25.510941,-55.046616,63.37344347688092,0
89,89,-1.2604929999999996,-0.550643,9.726027,9.82281281106522,0.03728,-0.003486,0.0041140000000000005,0.0376679650631674,16.931,-26.12709,-54.111121999999995,62.4283358497324,0
90,90,-1.1363989999999997,-0.081399,9.787075999999999,9.853166248175151,0.062020000000000006,0.04294,0.013581999999999999,0.07664720949910701,16.94207,-25.696167000000003,-54.110943000000006,62.252075360794514,0
91,91,-1.1088666666666664,-0.143646,9.805031,9.868579045066287,0.032698000000000005,0.019116,0.009612,0.039076478909952986,16.94207,-25.696167000000003,-54.110943000000006,62.252075360794514,0
92,92,-1.2425373333333332,-0.387844,9.850519,9.93614847727348,0.025979000000000002,-0.016619,-0.016045,0.034764085303657856,18.185902,-24.658295000000003,-54.12228399999999,62.1930877930762,0
93,93,-1.2313649999999998,-0.6667569999999999,9.734406,9.834606491014778,-0.008229,-0.113747,-0.058804999999999996,0.12831260450555898,16.949451,-25.40889,-54.110825,62.13595547196587,0
94,94,-1.2249809999999999,-0.11850799999999999,9.929525,10.005502951978476,-0.012506,-0.170557,-0.060332000000000004,0.1813450868068942,18.120155,-27.097609999999996,-54.584553,63.57746386217316,0
95,95,-1.0933053333333334,0.181951,9.74877,9.81157170035444,-0.021974,-0.11038699999999999,0.002281,0.11257597170799813,17.69426,-26.108551000000002,-53.810974,62.37278408966428,0
96,96,-1.0498123333333336,-0.520716,9.61111,9.682287256633877,-0.087336,-0.16505899999999998,-0.011158,0.18707365218276997,16.340118,-25.278029999999998,-54.719882999999996,62.451932335745326,0
97,97,-1.0573933333333336,-0.9456690000000001,9.881642,9.982946415517954,-0.055265999999999996,-0.198352,-0.07285499999999999,0.2184163402426659,17.725792000000002,-24.961136,-53.502995,61.64278130006615,0
98,98,-0.9927526666666667,-0.925319,9.894810000000001,9.987444019619575,-0.017087,-0.23592,0.002281,0.2365489694122551,17.398823,-25.684020999999998,-54.115353000000006,62.37675373749727,0
99,99,-0.9564423333333334,-0.24300100000000002,9.782287,9.831936247421568,-0.003343,-0.24599899999999997,0.10918299999999999,0.26916093910335503,16.648972,-25.42041,-53.492886,61.52133260775387,0
100,100,-0.8171856666666667,-0.464455,9.922342,9.966763849203735,0.010402,-0.264325,0.114069,0.28807576085120384,17.682198,-26.098297,-55.655975,63.96380840453481,0
101,101,-0.8770383333333333,-0.667954,9.813410000000001,9.875139219897212,0.077902,-0.226451,0.066727,0.24859861128735214,16.035275,-25.579391,-53.640812,61.55300155374918,0
102,102,-0.9109546666666667,-0.44889399999999996,9.532103999999999,9.586049806608234,0.021703,-0.312278,0.11926199999999999,0.33498058770173533,16.940044,-26.134781,-52.727375,61.238614803329135,0
103,103,-0.964423,-0.42734700000000003,9.874460000000001,9.930644363430705,-0.063207,-0.321441,0.157441,0.36346541762731704,16.809948000000002,-24.83667,-54.416615,62.13374700201034,0
104,104,-0.995546,0.258563,9.964239,10.017186506809484,-0.014949,-0.17513900000000002,0.28236300000000003,0.33260487923510684,17.409229,-24.958984,-55.345055,63.15937974394399,0
105,105,-0.9787873333333333,0.585357,9.946283,10.011454089063774,0.042472,-0.015092,0.3688,0.37154418209413537,15.287795999999998,-24.583907999999997,-55.47804300000001,62.57714034853247,0
106,106,-0.9640236666666665,0.16758699999999999,9.876854,9.925203875476736,0.062936,0.079592,0.349558,0.3639871177995177,15.4538,-24.00444,-55.633022,62.530522235193935,0
107,107,-0.8167866666666667,0.446499,9.86249,9.906321760166355,0.067518,0.07256699999999999,0.39140199999999997,0.40375757010488356,15.279392000000001,-25.310654,-53.940842,61.51181562485653,0
108,108,-0.8088063333333334,0.06942899999999999,9.948677,9.98174143730492,0.028422000000000003,0.044773,0.402398,0.4058775455934954,14.640857999999998,-26.916306,-52.244372999999996,60.566630761706804,0
109,109,-0.8810283333333334,-0.35552399999999995,9.848125,9.893845271396613,0.025673,0.015451,0.441493,0.44250865006121637,15.272015,-25.597931,-53.940964,61.628857776939874,0
110,110,-0.9708070000000001,-0.3651,9.838549,9.89306881946396,0.067212,-0.035251,0.586268,0.5911600914887607,15.854854999999999,-26.440154999999997,-54.562206,62.66970996487447,0
111,111,-0.948063,-0.70985,9.929524,9.999907866627822,0.085538,-0.039832,0.72188,0.7280206535998824,13.269287,-26.364502,-54.690903000000006,62.14704992316033,0
112,112,-0.8794320000000001,-0.447696,9.863688,9.912929602916789,0.09439600000000001,-0.03128,0.915524,0.92090891937911,14.515129,-25.328339,-54.394741,61.73331009141373,0
113,113,-0.6775300000000003,0.290883,9.910372,9.937762977600794,0.105697,0.022171,0.983024,0.9889386197464431,14.507751,-25.615616,-54.394863,61.85010705670788,0
114,114,-0.7820723333333337,-0.11611400000000001,9.660189,9.692490449377933,-0.021974,0.01087,0.798238,0.7986143739127164,15.085551999999998,-26.893890000000003,-54.093784,62.2655014106163,0
115,115,-1.028265666666667,-0.378268,9.95945,10.019533984351241,-0.018614,0.008426000000000001,0.761891,0.7621649259530381,13.263241,-26.799698,-53.922332999999995,61.65837632372566,0
116,116,-1.176699666666667,0.406997,9.68413,9.763843634575599,-0.0012050000000000001,-0.052966,0.739595,0.7414901302148262,12.816895,-26.527145,-53.456554000000004,61.03740971606648,0
117,117,-0.9983393333333335,0.494381,9.969027,10.031081363660174,-0.07786799999999999,-0.147039,0.501969,0.5288258408077275,12.816895,-26.527145,-53.456554000000004,61.03740971606648,0
118,118,-0.8542943333333334,0.047882,10.055214,10.091552907243038,-0.018614,-0.09175599999999999,0.24846,0.2655146250811808,13.102943,-27.237244,-53.459796999999995,61.41257583962745,0
119,119,-0.775289,0.763718,9.880445,9.940197765390284,-0.00884,-0.048995,0.060924,0.07867902770751554,12.808838,-26.960632,-52.99548299999999,60.823212897321994,0
120,120,-0.8878116666666668,-0.09815800000000001,9.963041,10.00300107548302,-0.025334,-0.069459,-0.089959,0.11644305869393846,12.768921,-28.394470000000002,-53.457336,61.862573841556554,0
121,121,-0.7629196666666666,-0.192725,10.022894,10.053735299810105,0.014372999999999999,-0.038916,-0.08721,0.09657443908716218,13.546268,-27.947556,-52.695755000000005,61.16706514228867,0
122,122,-0.6946879999999999,-0.553037,9.921145,9.96080114507553,0.032698000000000005,0.048132,-0.096984,0.11310059630258365,12.748463000000001,-29.110962,-53.765133,62.45527154640752,0
123,123,-0.6887026666666666,-0.521914,9.936707,9.974209321561222,0.0049039999999999995,0.148925,-0.10675799999999999,0.18330296070985871,9.712521,-28.759308,-54.043053,61.984533864304524,0
124,124,-0.47482966666666654,0.665559,9.473448,9.508661788260836,0.0049039999999999995,0.07103999999999999,0.042293,0.08282166784724876,12.609962,-28.539581,-53.917170999999996,62.29430274062184,0
125,125,-0.6392243333333332,-0.180754,9.590759,9.61373694007291,-0.110549,-0.038305,0.13483900000000001,0.17852145626506635,12.14819,-28.547455,-54.681511,62.86973319886324,0
126,126,-0.7705006666666665,-0.337568,9.971422,10.006841666282213,-0.186907,-0.075568,0.392624,0.4413596658610752,10.308784,-28.879074,-55.432743,63.348724842416374,0
127,127,-1.0490143333333333,-0.70985,9.874460000000001,9.955364302005165,-0.062902,-0.057547,0.9045280000000001,0.9085368575886177,10.045879,-27.307983,-55.27539399999999,62.466109229454695,0
128,128,-0.9396836666666667,-0.42734700000000003,9.825380000000001,9.879459651023893,0.108751,-0.083509,1.3632879999999998,1.3701659403247475,11.119339,-27.139404,-54.670624,62.040825895707684,0
129,129,-0.6476036666666667,0.191528,9.72842,9.751832093522946,0.324081,-0.100613,1.2072120000000002,1.2539985180509585,11.116985000000001,-27.430969,-53.901993000000004,61.493660365449344,0
130,130,-0.7385793333333334,-0.099355,10.243151,10.270224596203,0.252915,-0.023033,0.9598120000000001,0.9928421786255861,10.629726,-28.151077,-55.742886,63.34621970334142,0
131,131,-0.8455159999999999,0.6918949999999999,10.022894,10.082262649451115,0.201603,0.051798000000000004,0.659877,0.6919280725205476,10.651173,-27.875747999999998,-53.590263,61.338577593913946,0
132,132,-1.0314576666666666,0.205893,10.075564,10.130315235157811,0.24130900000000002,0.081424,0.302216,0.3952143872798661,10.46875,-28.734787,-54.819153,62.77278268593227,0
133,133,-0.7792793333333333,0.717033,9.94389,10.000118046030728,0.15853699999999998,0.082952,0.161106,0.2407699273352052,11.23,-28.714539000000002,-54.82650400000001,62.90137670070933,0
134,134,-0.8606786666666668,0.8020229999999999,10.018106,10.086944853969417,0.06935,0.12387999999999999,-0.047504000000000005,0.14970740434594407,9.725947999999999,-28.036834999999996,-54.811504000000006,62.329440492097675,0
135,135,-0.8383336666666669,0.44530200000000003,9.887628999999999,9.933091384333064,0.096839,0.166946,-0.08782100000000001,0.21204076701898625,9.684021000000001,-29.468964,-55.580853000000005,63.650854842408414,0
136,136,-0.9488610000000003,-0.8331459999999999,9.667371000000001,9.749488781791486,0.010402,0.142511,-0.22160100000000002,0.26367515985773105,10.50565,-27.298401000000002,-54.818554000000006,62.13409081760364,0
137,137,-0.8746440000000003,-0.660771,9.907978,9.968432599444158,-0.088864,0.125712,-0.27505100000000005,0.3152036961093572,9.232296,-29.485382,-54.80769300000001,62.91666117253673,0
138,138,-0.7337913333333336,0.16639,9.751163,9.780149038002648,-0.045187,0.016978,-0.293988,0.29792459045369185,8.161175,-29.802734,-54.490025,62.64160403243204,0
139,139,-0.7262100000000001,-0.968413,10.014515,10.08740379819773,-0.063513,0.070734,-0.49862799999999996,0.5076091826484229,10.300385,-29.60582,-53.895542000000006,62.3484719659944,0
